TITCK_ID,TITCK_Ilac_Adi,ATC_Barkod,ATC_Kodu,ATC_Durumu,Match_Score
0,% 0.4 LİDODEKS % 5 DEKSTROZ İÇİNDE İ.V. İNFÜZYON İÇİN ÇÖZELTİ,8699606774655,B01AB01,Aktif,57.14
1,% 0.8 LİDODEKS % 5 DEKSTROZ İÇİNDE İ.V. İNFÜZYON İÇİN ÇÖZELTİ,8699606774655,B01AB01,Aktif,56.0
2,% 10 DEKSTROZ BIOSEL SUDAKI HIPERTONIK SOLÜSYONU,8699788695045,B05BA03,Aktif,73.89
3,% 10 DEKSTROZ BIOSEL SUDAKI HIPERTONIK SOLÜSYONU,8699788695045,B05BA03,Aktif,73.89
4,% 10 DEKSTROZ BIOSEL SUDAKI HIPERTONIK SOLÜSYONU,8699788695045,B05BA03,Aktif,73.89
5,"% 17,5 DEKSTROZ BIOSEL SUDAKI HIPERTONIK SOLÜSYONU",8699788695038,B05BA03,Aktif,75.78
6,"% 17,5 DEKSTROZ BIOSEL SUDAKI HIPERTONIK SOLÜSYONU",8699788695038,B05BA03,Aktif,75.78
7,% 20 DEKSTROZ BIOSEL SUDAKI HIPERTONIK SOLÜSYONU,8699788695045,B05BA03,Aktif,75.16
8,% 20 SODYUM KLORÜR ÇÖZELTİSİ İÇEREN AMPUL,8697637691347,B05XA03,Aktif,55.61
9,% 30 DEKSYTROZ BİOSEL SUDAKİ HİPERTONİK SOLÜSYONU,8699788695052,B05BA03,Aktif,74.68
10,% 5 DEKSTROZ LAKTATLI RINGER SOLÜSYONU (CAM ŞIŞEDE),8699788695199,B05BB02,Aktif,57.69
11,% 5 DEKSTROZ LAKTATLI RINGER SOLÜSYONU (MEDIFLEKS TORBA),8699788698077,B05BB02,Aktif,57.01
12,% 50 DEKSTROZ BİOSEL SUDAKİ HİPERTONİK SOLÜSYONU,8699788695069,B05BA03,Aktif,75.16
13,%0.9 İZOTONİK SODYUM KLORÜR SOLÜSYONU,8699606690375,B05XA03,Aktif,70.5
14,%0.9 İZOTONİK SODYUM KLORÜR SOLÜSYONU,8699606690375,B05XA03,Aktif,70.5
15,%1.5 GLISIN İRIGASYON SOLÜSYONU,8699788680034,B05CX03,Aktif,51.25
16,%10 DEKSTROZ SUDAKI SOLÜSYONU (CAM),8699606691365,B05BA03,Aktif,55.17
17,%10 DEKSTROZ SUDAKI SOLÜSYONU (MEDIFLEKS),8699535691344,B05BA03,Pasif,56.5
18,%10 FREAMINE III ENJEKTABL AMIMOASIT SOLÜSYONU,8699556696809,B05BA10,Pasif,60.61
19,%10 MANNİTOL ÇÖZELTİSİ,8697637681409,B05CX04,Aktif,63.93
20,%20 MANNİTOL OSEL IV İNFÜZYONLUK ÇÖZELTİ,8697637681409,B05CX04,Aktif,65.19
21,%3 HİPERTONİK SODYUM KLORÜR OSEL IV İNFÜZYONLUK ÇÖZELTİ,8699606694090,B05XA03,Aktif,60.23
22,%3 SODYUM KLORÜR SOLÜSYONU,8699535690163,B05XA03,Pasif,73.12
23,%30 DEKTROZ SUDAKI SOLÜSYONU (CAM ŞIŞEDE),8699606692096,B05BA03,Aktif,69.23
24,%30 DEKTROZ SUDAKI SOLÜSYONU (MEDIFLEKS TORBA),8699606691358,B05BA03,Aktif,69.29
25,"%5 DEKSTROZ , %0.45 SODYUM KLORÜR, %0.3 POTASYUM KLORÜR BIOSEL ENJEKTABL SOLÜSYONU",8699788690132,B05BB02,Aktif,64.0
26,"%5 DEKSTROZ , %0.9 SODYUM KLORÜR BIOSEL SOLÜSYONU",8699788695106,B05BB02,Aktif,63.74
27,%5 DEKSTROZ %0.2 SODYUM KLORÜR BİOSEL ENJEKTABL SOLÜSYONU,8699788690965,B05BB02,Pasif,65.54
28,%5 DEKSTROZ %0.45 SODYUM KLORÜR BİOSEL SOLÜSYONU,8699788690132,B05BB02,Aktif,65.12
29,%5 DEKSTROZ %0.45 SODYUM KLORÜR SOLÜSYONU (CAM),8699788690132,B05BB02,Aktif,59.02
30,%5 DEKSTROZ %0.45 SODYUM KLORÜR SOLÜSYONU (MEDIFLEKS),8699606691990,B05BB02,Aktif,60.08
31,%5 DEKSTROZ BIOSEL SUDAKI SOLÜSYONU,8699788690903,B05BA03,Aktif,72.57
32,%5 DEKSTROZ LAKTATLI RİNGER SOLÜSYONU (CAM ŞİŞEDE),8699788690132,B05BB02,Aktif,52.96
33,%5 DEKSTROZ LAKTATLI RİNGER SOLÜSYONU(MEDİFLEX TORBADA),8699606692003,B05BB02,Aktif,54.07
34,%5 DEKSTROZ RINGER LAKTAT BIOSEL SOLÜSYONU,8699606692171,B05BB02,Aktif,56.35
35,%5 DEKTROZ SUDAKI SOLÜSYONU (CAM),8699606690177,B05BA03,Aktif,66.02
36,%5 DEKTROZ SUDAKI SOLÜSYONU (MEDIFLEKS),8699606693826,B05BA03,Aktif,67.23
37,%50 DEKSTROZ SUDAKI SOLÜSYONU (CAM ŞIŞEDE),8699606690177,B05BA03,Aktif,70.71
38,1/2 İZOTONİK SODYUM KLORÜR İZOTONİK DEKSTROZ ÇÖZELTİSİ,8699828690580,B05BB02,Aktif,61.11
39,"1/3 İZODEKS (%3.33 DEKSTROZ %0,3 NACL SOLÜSYONU) (CAM)",8699788692075,B05BB02,Aktif,50.0
