ID,Ilac_Adi,Etkin_Madde,Firma
0,% 0.4 LİDODEKS % 5 DEKSTROZ İÇİNDE İ.V. İNFÜZYON İÇİN ÇÖZELTİ,LİDOKAİN HİDROKLORÜR,POLİFARMA İLAÇ SAN. VE TİC. A.Ş.
1,% 0.8 LİDODEKS % 5 DEKSTROZ İÇİNDE İ.V. İNFÜZYON İÇİN ÇÖZELTİ,LİDOKAİN HİDROKLORÜR,POLİFARMA İLAÇ SAN. VE TİCARET A.Ş.
2,% 10 DEKSTROZ BIOSEL SUDAKI HIPERTONIK SOLÜSYONU,DEKSTROZ,OSEL ILAÇ SAN. VE TIC.A.Ş.
3,% 10 DEKSTROZ BIOSEL SUDAKI HIPERTONIK SOLÜSYONU,DEKSTROZ,OSEL ILAÇ SAN. VE TIC.A.Ş.
4,% 10 DEKSTROZ BIOSEL SUDAKI HIPERTONIK SOLÜSYONU,DEKSTROZ,OSEL ILAÇ SAN. VE TIC.A.Ş.
5,"% 17,5 DEKSTROZ BIOSEL SUDAKI HIPERTONIK SOLÜSYONU",DEKSTROZ,OSEL ILAÇ SAN.VE TIC.A.Ş.
6,"% 17,5 DEKSTROZ BIOSEL SUDAKI HIPERTONIK SOLÜSYONU",DEKSTROZ,OSEL ILAÇ SAN.VE TIC.A.Ş.
7,% 20 DEKSTROZ BIOSEL SUDAKI HIPERTONIK SOLÜSYONU,DEKSTROZ,OSEL ILAÇ SAN.VE TIC.A.Ş.
8,% 20 SODYUM KLORÜR ÇÖZELTİSİ İÇEREN AMPUL,SODYUM KLORÜR,ONFARMA İLAÇ İNŞAAT TIBBİ ALETLER SAN. VE TİC. LTD. ŞTİ.
9,% 30 DEKSYTROZ BİOSEL SUDAKİ HİPERTONİK SOLÜSYONU,DEKSTROZ,OSEL İLAÇ SAN.VE TİC.A.Ş.
10,% 5 DEKSTROZ LAKTATLI RINGER SOLÜSYONU (CAM ŞIŞEDE),KÜB'E BAKINIZ,ECZACIBAŞI-BAXTER HASTANE ÜRÜNLERİ SANAYİ VE TİCARET A.Ş.
11,% 5 DEKSTROZ LAKTATLI RINGER SOLÜSYONU (MEDIFLEKS TORBA),KÜB'E BAKINIZ,ECZACIBAŞI-BAXTER HASTANE ÜRÜNLERİ SANAYİ VE TİCARET A.Ş.
12,% 50 DEKSTROZ BİOSEL SUDAKİ HİPERTONİK SOLÜSYONU,DEKSTROZ,OSEL İLAÇ SAN.VE TİC.A.Ş.
13,%0.9 İZOTONİK SODYUM KLORÜR SOLÜSYONU,SODYUM KLORÜR,OSEL İLAÇ SAN. VE TİC. A.Ş.
14,%0.9 İZOTONİK SODYUM KLORÜR SOLÜSYONU,SODYUM KLORÜR,OSEL İLAÇ SAN. VE TİC. A.Ş.
15,%1.5 GLISIN İRIGASYON SOLÜSYONU,GLISIN,ECZACIBAŞI-BAXTER HASTANE ÜRÜNLERİ SANAYİ VE TİCARET A.Ş.
16,%10 DEKSTROZ SUDAKI SOLÜSYONU (CAM),DEKSTROZ,ECZACIBAŞI-BAXTER HASTANE ÜRÜNLERİ SANAYİ VE TİCARET A.Ş.
17,%10 DEKSTROZ SUDAKI SOLÜSYONU (MEDIFLEKS),DEKSTROZ,ECZACIBAŞI-BAXTER HASTANE ÜRÜNLERİ SANAYİ VE TİCARET A.Ş.
18,%10 FREAMINE III ENJEKTABL AMIMOASIT SOLÜSYONU,ESANSIYEL AMINO ASIT SOLÜSYONU,
19,%10 MANNİTOL ÇÖZELTİSİ,MANNİTOL,ÇETİNKAYA İLAÇ SAN. VE TİC. A.Ş.
